objectid,title,author,description,date published,related topics,publisher(s),county(s) banned,date banned,Photo jpg,format
coll001,The House of The Spirits,"Allende, Isabel","The House of the Spirits, the unforgettable first novel that established Isabel Allende as one of the world’s most gifted storytellers, brings to life the triumphs and tragedies of three generations of the Trueba family. The patriarch Esteban is a volatile, proud man whose voracious pursuit of political power is tempered only by his love for his delicate wife Clara, a woman with a mystical connection to the spirit world. When their daughter Blanca embarks on a forbidden love affair in defiance of her implacable father, the result is an unexpected gift to Esteban: his adored granddaughter Alba, a beautiful and strong-willed child who will lead her family and her country into a revolutionary future.",2005,Fiction; magical realism; autobiographical,Atria Books,Boone County,2014,,book
coll002,Darkness Before Dawn,"Draper, Sharon M","Recovering from the recent suicide of her ex-boyfriend, senior class president Keisha Montgomery finds herself attracted to a dangerous, older man",2001,"African American; fiction, high school",Atheneum Books for Young Readers,Pitt County,2021,,book
coll003,Invisible Man,"Ellison, Ralph","
He describes growing up in a Black community in the South, attending a Negro college from which he is expelled, moving to New York and becoming the chief spokesman of the Harlem branch of ""the Brotherhood,"" before retreating amid violence and confusion.",1995,Fiction; African American; 20th century,Vintage International,Randolph County,2014,,book
coll004,Lawn Boy,"Evison, Jonathan","""Mike Muñoz is a young Mexican American not too many years out of high school--and just fired from his latest gig as a lawn boy on a landscaping crew.",2018,Mexican American; working class; fiction,Algonquin Books,Wake County,2022,,book
coll005,An ABC of Equality,"Ewing, Chana G","An ABC of equality introduces complicated concepts to the youngest of children, from celebrating our differences, understanding everyone's beliefs, and treating everyone with kindness",2019,Equality; Social Justice; Board Books,Frances Lincoln Children's Books,Mecklenburg County,2022,,book
coll006,Mellisa,"Gino, Alex","Melissa is a novel about a transgender fourth grader called George who increasingly learns to be herself and to tell others about her secret. Along the way, she finds many supportive advocates, but her greatest ally is her best friend, Kelly.",2022,LGBTQ; fiction; children's literature,Scholastic Press,Statewide,2021,,book
coll007,Life is funny,E.R. Frank,"Life is Funny traces the lives of 11 teenagers in one Brooklyn neighborhood over the course of seven years. This ambitious undertaking depicts teens dealing with real-life issues, like self-harm, abuse, family expectations, friendship, and falling in love.",2000,"Young Adult; Banned Books; Realistic Fiction; Fiction; Short Stories; Contemporary, Teen, African American, School, Cultural",Puffin Books,Statewide,2015,,book
coll008,Incidents in the Life of Slave Girl,"Jacobs, Harriet A","Harriet Jacobs (1813-1897) was an African-American writer who escaped from slavery and was later freed. She became an abolitionist and reformer. Jacobs wrote an autobiography, Incidents in the Life of a Slave Girl, published in 1861 under the pseudonym Linda Brent. It was a reworking of the genres of slave narrative and sentimental novel, and was one of the first books to address the struggle for freedom by female slaves, explore their struggles with sexual harassment and abuse and their effort to protect their roles as women and mothers.
After being overshadowed by the American Civil War, the book was rediscovered in the late 20th century, when there was new interest in minority and women writers.",1861,African American Literary Biography; Historical Figures Women's Biography,Dover Publications,,,,book
coll009,All Boys Aren't Blue,"Johnson, George M","In a series of personal essays, prominent journalist and LGBTQIA+ activist George M. Johnson explores his childhood, adolescence, and college years in New Jersey and Virginia.",2020,African American gay men; biography; identity,New York : Farrar Straus Giroux,Wake County,2023,,book
coll010,Gender Queer,Kobabe Maia,"Maia's intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears.",2019,Graphic novel; memoir; LGBT,Lion Forge,Wake County,2021,,book
coll011,Beyond Magenta,"Kuklin, Susan","Author and photographer Susan Kuklin met and interviewed six transgender or gender-neutral young adults and used her considerable skills to represent them thoughtfully and respectfully before, during, and after their personal acknowledgment of gender preference.",2015,Transgender youth; Nonfiction,Candlewick Press,Catawba County,2023,,book
coll012,Out of Darkness,"Perez, Ashley H","Loosely based on a school explosion that took place in New London, Texas, in 1937, this is the story of two teenagers: Naomi, who's Mexican, and Wash, who's black, and their dealings with race, segregation, love, and the forces that destroy people",2015,Schools; Race Relations; African Americans; Mexican Americans,Carolrhoda Lab,Catawba County,2023,,book
coll013,Stamped,"Reynolds, Jason","""A history of racist and antiracist ideas in America, from their roots in Europe until today, adapted from the National Book Award winner Stamped from the Beginning""",2020,Racism; US History; Nonfiction,"Little, Brown and Company",Catawba County,2023,,book
coll014,Dear Martin,"Stone, Nic","Writing letters to the late Dr. Martin Luther King Jr., seventeen-year-old college-bound Justyce McAllister struggles to face the reality of race relations today and how they are shaping him",2017,Racial profiling; Police brutality; African Americans,Crown Books for Young Readers,New Hanover County,2022,,book
coll015,Night,"Wiesel, Ellie","In 1944, 15 year old Wiesel's village Sighet in Hungary was overtaken by Hitler's army. The jews in the village were deported to concentration camps, including young Wiesel and his family. ""Night"" is his memoir of the year he spent in these camps. That he survived them is a miracle even he finds impossible to comprehend",2006,Holocaust; Jewish; 20th century; Biography,,Pitt County,2021,,book